PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAAH	C1	0	0.456884852	1.642169424
PAAH	C2	0	0.563384105	0.379557318
PAAH	CA	0.33	0.401973783	1.109622736
PAAH	O1	-0.45	0.309806875	5.116434089
PAAH	O2	-0.288	0.331669782	3.398429448
PAAH	HA	0.408	0	0
PAHe	C1	0	0.456884852	1.642169424
PAHe	C2	0	0.456884852	1.642169424
PAHe	CA	0.33	0.401973783	1.109622736
PAHe	O1	-0.45	0.309806875	5.116434089
PAHe	O2	-0.288	0.331669782	3.398429448
PAHe	HA	0.408	0	0
PDB	OFS	-0.635	0.29474215	6.900176589
PDB	CFR	0.27	0.377270427	1.623473274
PDB	OFT	-0.635	0.29474215	6.900176589
PDB	CFQ	0	0.563141697	0.381522562
PDB	CFP	0	0.456884852	1.642169424
PDB	CFK	0	0.456884852	1.642169424
PDB	CFL	0	0.563384105	0.379557318
PDB	CFM	0.27	0.377270427	1.623473274
PDB	OFO	-0.635	0.29474215	6.900176589
PDB	OFN	-0.635	0.29474215	6.900176589
PDB	CFF	0	0.456884852	1.642169424
PDB	CFG	0	0.563384105	0.379557318
PDB	CFH	0.27	0.377270427	1.623473274
PDB	OFJ	-0.635	0.29474215	6.900176589
PDB	OFI	-0.635	0.29474215	6.900176589
PDB	CFA	0	0.456884852	1.642169424
PDB	CFB	0	0.563384105	0.379557318
PDB	CFC	0.27	0.377270427	1.623473274
PDB	OFE	-0.635	0.29474215	6.900176589
PDB	OFD	-0.635	0.29474215	6.900176589
PDB	CEV	0	0.456884852	1.642169424
PDB	CEW	0	0.563384105	0.379557318
PDB	CEX	0.27	0.377270427	1.623473274
PDB	OEZ	-0.635	0.29474215	6.900176589
PDB	OEY	-0.635	0.29474215	6.900176589
PDB	CEQ	0	0.456884852	1.642169424
PDB	CER	0	0.563384105	0.379557318
PDB	CES	0.27	0.377270427	1.623473274
PDB	OEU	-0.635	0.29474215	6.900176589
PDB	OET	-0.635	0.29474215	6.900176589
PDB	CEL	0	0.456884852	1.642169424
PDB	CEM	0	0.563384105	0.379557318
PDB	CEN	0.27	0.377270427	1.623473274
PDB	OEP	-0.635	0.29474215	6.900176589
PDB	OEO	-0.635	0.29474215	6.900176589
PDB	CEG	0	0.456884852	1.642169424
PDB	CEH	0	0.563384105	0.379557318
PDB	CEI	0.27	0.377270427	1.623473274
PDB	OEK	-0.635	0.29474215	6.900176589
PDB	OEJ	-0.635	0.29474215	6.900176589
PDB	CEB	0	0.456884852	1.642169424
PDB	CEC	0	0.563384105	0.379557318
PDB	CED	0.27	0.377270427	1.623473274
