DUMP-UNL      10
 CHK   6-F    3    4 238.650  21.670   9.430    2    3    4    5
 HHK   1,F    0    1 238.942  21.173  10.355    1
 HHL   1,F    0    1 239.200  22.606   9.331    1
 HHM   1,F    0    1 238.799  21.024   8.564    1
 CHL   6+F    3    4 237.150  21.960   9.460    1    6    7    8
 HHN   1,F    0    1 236.857  22.456   8.535    5
 HHO   1,F    0    1 236.963  22.553  10.355    5
 OHQ   8,F    3    2 236.430  20.730   9.590    5    9
 OHR   8,F    3    2 234.960  20.740   9.650    8   10
 HHR   1,F    0    1 234.660  20.820  10.600    9
