OFS,-0.635,0.29474215,6.900176589
CFR,0,0.456884852,1.642169424
OFT,-0.635,0.29474215,6.900176589
CFQ,0,0.563141697,0.381522562
CFP,0.27,0.420689613,3.468601893
CFK,0,0.456884852,1.642169424
CFL,0,0.563384105,0.379557318
CFM,0.27,0.377270427,1.623473274
OFO,-0.635,0.29474215,6.900176589
OFN,-0.635,0.29474215,6.900176589
CFF,0,0.456884852,1.642169424
CFG,0,0.563384105,0.379557318
CFH,0.27,0.377270427,1.623473274
OFJ,-0.635,0.29474215,6.900176589
OFI,-0.635,0.29474215,6.900176589
CFA,0,0.456884852,1.642169424
CFB,0,0.563384105,0.379557318
CFC,0.27,0.377270427,1.623473274
OFE,-0.635,0.29474215,6.900176589
OFD,-0.635,0.29474215,6.900176589
CEV,0,0.456884852,1.642169424
CEW,0,0.563384105,0.379557318
CEX,0.27,0.377270427,1.623473274
OEZ,-0.635,0.29474215,6.900176589
OEY,-0.635,0.29474215,6.900176589
CEQ,0,0.456884852,1.642169424
CER,0,0.563384105,0.379557318
CES,0.27,0.377270427,1.623473274
OEU,-0.635,0.29474215,6.900176589
OET,-0.635,0.29474215,6.900176589
CEL,0,0.456884852,1.642169424
CEM,0,0.563384105,0.379557318
CEN,0.27,0.377270427,1.623473274
OEP,-0.635,0.29474215,6.900176589
OEO,-0.635,0.29474215,6.900176589
CEG,0,0.456884852,1.642169424
CEH,0,0.563384105,0.379557318
CEI,0.27,0.377270427,1.623473274
OEK,-0.635,0.29474215,6.900176589
OEJ,-0.635,0.29474215,6.900176589
CEB,0,0.456884852,1.642169424
CEC,0,0.563384105,0.379557318
CED,0.27,0.377270427,1.623473274
OEF,-0.635,0.29474215,6.900176589
OEE,-0.635,0.29474215,6.900176589
CDW,0,0.456884852,1.642169424
CDX,0,0.563384105,0.379557318
CDY,0.27,0.377270427,1.623473274
OEA,-0.635,0.29474215,6.900176589
ODZ,-0.635,0.29474215,6.900176589
CDR,0,0.456884852,1.642169424
CDS,0,0.563384105,0.379557318
CDT,0.27,0.377270427,1.623473274
ODV,-0.635,0.29474215,6.900176589
ODU,-0.635,0.29474215,6.900176589
CDM,0,0.456884852,1.642169424
CDN,0,0.563384105,0.379557318
CDO,0.27,0.377270427,1.623473274
ODQ,-0.635,0.29474215,6.900176589
ODP,-0.635,0.29474215,6.900176589
CDH,0,0.456884852,1.642169424
CDI,0,0.563384105,0.379557318
CDJ,0.27,0.377270427,1.623473274
ODL,-0.635,0.29474215,6.900176589
ODK,-0.635,0.29474215,6.900176589
CDC,0,0.456884852,1.642169424
CDD,0,0.563384105,0.379557318
CDE,0.27,0.377270427,1.623473274
ODG,-0.635,0.29474215,6.900176589
ODF,-0.635,0.29474215,6.900176589
CCX,0,0.456884852,1.642169424
CCY,0,0.563384105,0.379557318
CCZ,0.27,0.377270427,1.623473274
ODB,-0.635,0.29474215,6.900176589
ODA,-0.635,0.29474215,6.900176589
CCS,0,0.456884852,1.642169424
CCT,0,0.563384105,0.379557318
CCU,0.27,0.377270427,1.623473274
OCW,-0.635,0.29474215,6.900176589
OCV,-0.635,0.29474215,6.900176589
CCN,0,0.456884852,1.642169424
CCO,0,0.563384105,0.379557318
CCP,0.27,0.377270427,1.623473274
OCR,-0.635,0.29474215,6.900176589
OCQ,-0.635,0.29474215,6.900176589
CCI,0,0.456884852,1.642169424
CCJ,0,0.563384105,0.379557318
CCK,0.27,0.377270427,1.623473274
OCM,-0.635,0.29474215,6.900176589
OCL,-0.635,0.29474215,6.900176589
CCD,0,0.456884852,1.642169424
CCE,0,0.563384105,0.379557318
CCF,0.27,0.377270427,1.623473274
OCH,-0.635,0.29474215,6.900176589
OCG,-0.635,0.29474215,6.900176589
CBY,0,0.456884852,1.642169424
CBZ,0,0.563384105,0.379557318
CCA,0.27,0.377270427,1.623473274
OCC,-0.635,0.29474215,6.900176589
OCB,-0.635,0.29474215,6.900176589
CBT,0,0.456884852,1.642169424
CBU,0,0.563384105,0.379557318
CBV,0.27,0.377270427,1.623473274
OBX,-0.635,0.29474215,6.900176589
OBW,-0.635,0.29474215,6.900176589
CBO,0,0.456884852,1.642169424
CBP,0,0.563384105,0.379557318
CBQ,0.27,0.377270427,1.623473274
OBS,-0.635,0.29474215,6.900176589
OBR,-0.635,0.29474215,6.900176589
CBJ,0,0.456884852,1.642169424
CBK,0,0.563384105,0.379557318
CBL,0.27,0.377270427,1.623473274
OBN,-0.635,0.29474215,6.900176589
OBM,-0.635,0.29474215,6.900176589
CBE,0,0.456884852,1.642169424
CBF,0,0.563384105,0.379557318
CBG,0.27,0.377270427,1.623473274
OBI,-0.635,0.29474215,6.900176589
OBH,-0.635,0.29474215,6.900176589
CAZ,0,0.456884852,1.642169424
CBA,0,0.563384105,0.379557318
CBB,0.27,0.377270427,1.623473274
